condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
loss_1pct,1.0,,,0.0,3821.0,3439.0,0.3439,57.32233452796936,59.99406737912958,1.0,,,3.0,,joint_fault_pf_results.csv,,,,,
loss_5pct,5.0,,,0.0,3855.0,3470.0,0.347,50.59549045562744,68.58318733056282,1.0,,,3.0,,joint_fault_pf_results.csv,,,,,
loss_15pct,15.0,,,0.0,3809.0,3429.0,0.3429,65.0195779800415,52.73796149603694,1.0,,,3.0,,joint_fault_pf_results.csv,,,,,
baseline,,,,0.1148825065274151,3833.0,0.0,0.0,48.86528706550598,0.0,0.8,,,4.0,,joint_fault_pf_results.csv,,,,,
loss_1pct,1.0,,,,,,,,,0.8,,,4.0,,joint_fault_pf_results.csv,,,,,
loss_5pct,5.0,,,0.106631989596879,7695.0,143.0,0.0143,57.02931714057922,2.507482241940581,0.8,,,4.0,,joint_fault_pf_results.csv,,,,,
loss_15pct,15.0,,,0.106631989596879,7695.0,143.0,0.0143,57.02931714057922,2.507482241940581,0.8,,,4.0,,joint_fault_pf_results.csv,,,,,
baseline,,,,,,,,,,0.8,,,5.0,,joint_fault_pf_results.csv,,,,,
loss_1pct,1.0,,,,,,,,,0.8,,,5.0,,joint_fault_pf_results.csv,,,,,
loss_5pct,5.0,,,,,,,,,0.8,,,5.0,,joint_fault_pf_results.csv,,,,,
loss_15pct,15.0,,,0.0985732814526588,7710.0,493.0,0.0493,55.99129056930542,8.804940821818883,0.8,,,5.0,,joint_fault_pf_results.csv,,,,,
baseline,,,,,,,,,,0.8,,,6.0,,joint_fault_pf_results.csv,,,,,
loss_1pct,1.0,,,,,,,,,0.8,,,6.0,,joint_fault_pf_results.csv,,,,,
loss_5pct,5.0,,,,,,,,,0.8,,,6.0,,joint_fault_pf_results.csv,,,,,
