toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.028697729110717773,{},False,,toeplitz_0.5,35,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.031072378158569336,{'toeplitz_matrix': 1},False,,toeplitz_0.5,36,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.02743363380432129,{},False,,toeplitz_0.5,37,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.028352022171020508,{},False,,toeplitz_0.5,38,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.024137020111083984,{},False,,toeplitz_0.5,39,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.029478788375854492,{},False,,toeplitz_0.5,40,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,False,1,0.026621341705322266,{'toeplitz_matrix': 1},False,,toeplitz_0.5,41,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,False,2,0.02232837677001953,{'toeplitz_matrix': 2},False,,toeplitz_0.5,42,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,False,1,0.02389383316040039,{'toeplitz_matrix': 2},False,,toeplitz_0.5,43,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.024990558624267578,{},False,,toeplitz_0.5,44,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.02306962013244629,{'toeplitz_matrix': 1},False,,toeplitz_0.5,45,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,False,2,0.02405714988708496,{'toeplitz_matrix': 2},False,,toeplitz_0.5,46,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,False,1,0.023922204971313477,{'toeplitz_matrix': 1},False,,toeplitz_0.5,47,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.023780107498168945,{},False,,toeplitz_0.5,48,toeplitz,0.5
0.5,0.0,0.0,0.0,0.0,1706,0,,True,0,0.02611827850341797,{'toeplitz_matrix': 2},False,,toeplitz_0.5,49,toeplitz,0.5
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.02787637710571289,{},False,,toeplitz_0.3,0,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.024440526962280273,{},False,,toeplitz_0.3,1,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.04431724548339844,{'toeplitz_matrix': 1},False,,toeplitz_0.3,2,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.025285005569458008,{},False,,toeplitz_0.3,3,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.026570558547973633,{'toeplitz_matrix': 2},False,,toeplitz_0.3,4,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.023766279220581055,{'toeplitz_matrix': 2},False,,toeplitz_0.3,5,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.024780988693237305,{},False,,toeplitz_0.3,6,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.025965213775634766,{},False,,toeplitz_0.3,7,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.02560710906982422,{},False,,toeplitz_0.3,8,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.02418231964111328,{'toeplitz_matrix': 1},False,,toeplitz_0.3,9,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.026286840438842773,{},False,,toeplitz_0.3,10,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.023812055587768555,{'toeplitz_matrix': 1},False,,toeplitz_0.3,11,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.025829315185546875,{},False,,toeplitz_0.3,12,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.028019189834594727,{'toeplitz_matrix': 1},False,,toeplitz_0.3,13,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.028189420700073242,{},False,,toeplitz_0.3,14,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.025490283966064453,{'toeplitz_matrix': 1},False,,toeplitz_0.3,15,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.024326801300048828,{},False,,toeplitz_0.3,16,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.025511503219604492,{},False,,toeplitz_0.3,17,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.025780677795410156,{'toeplitz_matrix': 1},False,,toeplitz_0.3,18,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.02283453941345215,{},False,,toeplitz_0.3,19,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.025415420532226562,{},False,,toeplitz_0.3,20,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,True,0,0.025936126708984375,{},False,,toeplitz_0.3,21,toeplitz,0.3
0.3,0.0,0.0,0.0,0.0,1706,0,,False,1,0.027472257614135742,{'toeplitz_matrix': 1},False,,toeplitz_0.3,22,toeplitz,0.3
