toeplitz_prob,hash_prob,reconciliation_prob,total_corrections,secure_key_length,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,keys_match,run,seed,fault_type,prob,key_index,qber
0.1,0.0,0.0,36,1859,0,False,,51.46314573287964,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.1,1,0.009488666315234581
0.0,0.1,0.0,36,1859,0,False,,48.77996873855591,{},True,0,42,hash,0.1,1,0.009488666315234581
0.0,0.1,0.0,36,1859,0,False,,51.287885665893555,{'hash_output': 1},False,1,43,hash,0.1,1,0.009488666315234581
0.0,0.1,0.0,36,1859,0,False,,49.57110857963562,{},True,2,44,hash,0.1,1,0.009488666315234581
0.05,0.0,0.0,36,1859,0,False,,49.66732835769653,{},True,0,42,toeplitz,0.05,1,0.009488666315234581
0.05,0.0,0.0,36,1859,0,False,,50.118685245513916,{},True,1,43,toeplitz,0.05,1,0.009488666315234581
0.05,0.0,0.0,36,1859,0,False,,49.708499908447266,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.05,1,0.009488666315234581
0.0,0.05,0.0,36,1859,0,False,,49.254719257354736,{},True,0,42,hash,0.05,1,0.009488666315234581
0.0,0.05,0.0,36,1859,0,False,,47.481428384780884,{'hash_output': 1},False,1,43,hash,0.05,1,0.009488666315234581
0.0,0.05,0.0,36,1859,0,False,,48.968297719955444,{},True,2,44,hash,0.05,1,0.009488666315234581
0.01,0.0,0.0,36,1859,0,False,,49.213778018951416,{},True,0,42,toeplitz,0.01,1,0.009488666315234581
0.01,0.0,0.0,36,1859,0,False,,49.57816958427429,{},True,1,43,toeplitz,0.01,1,0.009488666315234581
0.01,0.0,0.0,36,1859,0,False,,47.52241635322571,{},True,2,44,toeplitz,0.01,1,0.009488666315234581
0.0,0.01,0.0,36,1859,0,False,,48.48530197143555,{},True,0,42,hash,0.01,1,0.009488666315234581
0.0,0.01,0.0,36,1859,0,False,,51.66710305213928,{},True,1,43,hash,0.01,1,0.009488666315234581
0.0,0.01,0.0,36,1859,0,False,,51.323387145996094,{},True,2,44,hash,0.01,1,0.009488666315234581
0.5,0.0,0.0,52,1842,0,False,,48.346497535705566,{'toeplitz_matrix': 1},True,0,42,toeplitz,0.5,2,0.013826110077107153
0.5,0.0,0.0,52,1842,0,False,,46.52902150154114,{'toeplitz_matrix': 1},False,1,43,toeplitz,0.5,2,0.013826110077107153
0.5,0.0,0.0,52,1842,0,False,,46.02651309967041,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.5,2,0.013826110077107153
0.0,0.5,0.0,52,1842,0,False,,46.266233682632446,{},True,0,42,hash,0.5,2,0.013826110077107153
0.0,0.5,0.0,52,1842,0,False,,47.78928351402283,{},True,1,43,hash,0.5,2,0.013826110077107153
0.0,0.5,0.0,52,1842,0,False,,48.7459671497345,{'hash_output': 1},False,2,44,hash,0.5,2,0.013826110077107153
0.3,0.0,0.0,52,1842,0,False,,44.96867513656616,{},True,0,42,toeplitz,0.3,2,0.013826110077107153
0.3,0.0,0.0,52,1842,0,False,,47.98898220062256,{},True,1,43,toeplitz,0.3,2,0.013826110077107153
0.3,0.0,0.0,52,1842,0,False,,48.87307286262512,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.3,2,0.013826110077107153
0.0,0.3,0.0,52,1842,0,False,,46.700721979141235,{},True,0,42,hash,0.3,2,0.013826110077107153
0.0,0.3,0.0,52,1842,0,False,,47.62186908721924,{},True,1,43,hash,0.3,2,0.013826110077107153
0.0,0.3,0.0,52,1842,0,False,,45.57212495803833,{},True,2,44,hash,0.3,2,0.013826110077107153
0.1,0.0,0.0,52,1842,0,False,,46.80950355529785,{},True,0,42,toeplitz,0.1,2,0.013826110077107153
0.1,0.0,0.0,52,1842,0,False,,48.10559296607971,{},True,1,43,toeplitz,0.1,2,0.013826110077107153
0.1,0.0,0.0,52,1842,0,False,,49.33872699737549,{'toeplitz_matrix': 1},True,2,44,toeplitz,0.1,2,0.013826110077107153
0.0,0.1,0.0,52,1842,0,False,,46.298181772232056,{},True,0,42,hash,0.1,2,0.013826110077107153
0.0,0.1,0.0,52,1842,0,False,,48.0418815612793,{},True,1,43,hash,0.1,2,0.013826110077107153
0.0,0.1,0.0,52,1842,0,False,,48.59018802642822,{},True,2,44,hash,0.1,2,0.013826110077107153
0.05,0.0,0.0,52,1842,0,False,,46.56381940841675,{},True,0,42,toeplitz,0.05,2,0.013826110077107153
