run,seed,error,raw_stdout,raw_stderr,keys_match,verification_passed,non_convergent,fault_type,prob
0,42,no bob output path found in stdout,,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,True,verify_digest,0.5
0.0,0.0,0.0,0.5,43,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed43_20260824_052901_525656.json,388,39,1690,68,34,True,0,False,,2.755011558532715,{},,,1,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed43_20260824_052901_525656.json,,verify_digest,0.5
2,44,no bob output path found in stdout,,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,True,verify_digest,0.5
0.0,0.0,0.0,0.5,45,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed45_20260824_052909_850992.json,388,39,1690,68,34,True,0,False,,2.729832410812378,{},True,,3,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed45_20260824_052909_850992.json,results/alice_realchannel_run_seed45_20260824_052909_928919.json,verify_digest,0.5
4,46,no bob output path found in stdout,,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,True,verify_digest,0.5
0.0,0.0,0.0,0.5,47,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed47_20260824_052919_912731.json,388,39,1690,68,34,False,0,False,,2.5479109287261963,{'verification_digest': 1},,,5,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed47_20260824_052919_912731.json,,verify_digest,0.5
6,48,no bob output path found in stdout,,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,True,verify_digest,0.5
0.0,0.0,0.0,0.5,49,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed49_20260824_052928_009077.json,388,39,1690,68,34,True,0,False,,2.8354249000549316,{},,,7,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed49_20260824_052928_009077.json,,verify_digest,0.5
8,50,no bob output path found in stdout,,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,True,verify_digest,0.5
0.0,0.0,0.0,0.5,51,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed51_20260824_052936_013339.json,388,39,1690,68,34,True,0,False,,2.8194563388824463,{},,,9,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed51_20260824_052936_013339.json,,verify_digest,0.5
0.0,0.0,0.0,0.5,52,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed52_20260824_052940_292714.json,388,39,1690,68,34,True,0,False,,4.555804252624512,{},,,10,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed52_20260824_052940_292714.json,,verify_digest,0.5
11,53,no bob output path found in stdout,,"Traceback (most recent call last):
  File ""/home/ubuntu/qfabric/scripts/bob_cascade_driver.py"", line 98, in <module>
    server.start()
  File ""/home/ubuntu/qfabric/qne/channel.py"", line 99, in start
    self._server_sock.bind((self.host, self.port))
OSError: [Errno 98] Address already in use
",,,True,verify_digest,0.5
0.0,0.0,0.0,0.5,54,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed54_20260824_052950_201227.json,388,39,1690,68,34,False,0,False,,2.5596694946289062,{'verification_digest': 1},True,,12,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed54_20260824_052950_201227.json,results/alice_realchannel_run_seed54_20260824_052950_154155.json,verify_digest,0.5
0.0,0.0,0.0,0.5,55,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed55_20260824_052954_275575.json,388,39,1690,68,34,False,0,False,,4.453773498535156,{'verification_digest': 1},True,,13,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed55_20260824_052954_275575.json,results/alice_realchannel_run_seed55_20260824_052954_243614.json,verify_digest,0.5
0.0,0.0,0.0,0.5,56,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed56_20260824_053000_214691.json,388,39,1690,68,34,True,0,False,,4.606204032897949,{},True,,14,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.5_seed56_20260824_053000_214691.json,results/alice_realchannel_run_seed56_20260824_053000_206109.json,verify_digest,0.5
