axis,value,qber_mean,qber_std,key_rate_mean,key_rate_std,final_key_bits_mean,final_key_bits_std,success_prob,n
attenuation_db_per_km,0.1,0.011601650203256353,0.00889599532087906,57.59542522204447,9.097249272963772,2841.8,435.2306285178008,1.0,5
attenuation_db_per_km,0.2,0.010968596013609928,0.003868772995660352,58.395527021334246,3.893666599078431,2854.4,185.89862828972136,1.0,5
attenuation_db_per_km,0.3,0.008987979887481956,0.00445657162515854,59.52197548057019,3.9046289842352544,2912.8,207.42637247948966,1.0,5
attenuation_db_per_km,0.35,0.009443604058109664,0.005431890776023009,59.7879293938664,5.098728176911501,2918.6,257.2553206446856,1.0,5
attenuation_db_per_km,0.4,0.008418294921388549,0.003962633990864411,59.47177327843343,3.046806050583633,2954.6,196.24423558413125,1.0,5
dark_count_rate_hz,100.0,0.011040727285251756,0.004323440010948884,58.32647642065037,4.183031897655627,2833.0,188.98941769316082,1.0,5
dark_count_rate_hz,1000.0,0.011528309875052375,0.006286628201851089,57.97251090611745,5.6210403277521,2824.0,274.3082208028042,1.0,5
dark_count_rate_hz,10000.0,0.011581899487098809,0.005426598280769323,57.53056130160701,4.542494487904741,2806.2,236.14232996224965,1.0,5
dark_count_rate_hz,100000.0,0.010512100533731505,0.004991941962080743,58.681595995948385,5.231866244872573,2872.2,254.94254254635493,1.0,5
dark_count_rate_hz,1000000.0,0.009417686246078135,0.004706228915285839,59.56115326307042,4.117696512512919,2918.0,208.06849833648533,1.0,5
distance_km,1.0,0.010556287293205142,0.0019249960602384611,58.41644441771932,1.8505692950730648,2840.6,99.863907394013,1.0,5
distance_km,10.0,0.009938492127077047,0.0037511621594946165,59.04227926286178,2.7855214492213327,2886.4,146.36017217808947,1.0,5
distance_km,50.0,0.00887514021394455,0.0034859413412344675,58.119357338876185,2.0973127009365173,2948.0,161.99537030421578,1.0,5
distance_km,75.0,0.007946974191876156,0.004177507233500863,60.88792312624183,6.204844913463612,2965.2,227.59327758086351,1.0,5
distance_km,100.0,0.010984341850715533,0.0028618691175721763,58.14516850670829,2.9162119946082687,2847.0,130.8109322648532,1.0,5
efficiency,0.5,0.011072572312958448,0.0049194569363986895,36.12332460051421,3.3866135219113747,1759.2,156.61162153556805,1.0,5
efficiency,0.6,0.007051457367341843,0.0043542498891676355,46.50235660603372,3.692054928325149,2267.8,196.95227848390084,1.0,5
efficiency,0.7,0.013140622244913386,0.005316954416358584,49.61167313464308,3.8336019883272936,2407.6,185.10213396933057,1.0,5
efficiency,0.8,0.014679170093028358,0.004444277816140522,55.11397745278189,3.362275563779373,2687.2,193.32149389035865,1.0,5
efficiency,0.9,0.011229437095974636,0.004156512757148786,64.00983969429578,5.226029354981784,3175.6,211.0706043010253,1.0,5
efficiency,1.0,0.010049760126461879,0.005734106661905838,74.15116762748639,7.13537569904989,3614.2,313.26538270290894,1.0,5
jitter_ms,5.0,0.014709707869691783,0.005741198521757667,50.19179118263491,3.779338413658758,2681.4,236.39225875649987,1.0,5
jitter_ms,10.0,0.012670112426077195,0.0033488190432884456,51.4598074667696,1.760584908357147,2742.4,124.68079242609909,1.0,5
jitter_ms,20.0,0.01562935532958386,0.005036958483308099,50.4698482235341,4.565949658890453,2669.6,234.91125984081734,1.0,5
jitter_ms,30.0,0.009950363741037315,0.002163796411281262,54.744791984096025,1.7962380961730342,2887.4,100.42808372163637,1.0,5
jitter_ms,50.0,0.011048705542603334,0.009021574488453067,54.47645572363482,8.04790607933168,2869.6,425.5846566783158,1.0,5
latency_ms,1.0,0.007862296230868258,0.001842839796857057,60.16978832344074,1.87972444094625,2984.2,85.4967835652313,1.0,5
latency_ms,50.0,0.013160937779330079,0.008162051222503406,40.57019685383641,4.33297578567213,2758.6,360.6678527398859,1.0,5
latency_ms,100.0,0.009922400324952129,0.00495385632604232,31.493212927918922,2.6490556991144207,2900.6,210.82053979629214,1.0,5
latency_ms,150.0,0.011495880400204434,0.004030018121992284,25.198920966505142,1.586025116676424,2835.0,201.79568875474018,1.0,5
latency_ms,200.0,0.01775581751822681,0.006193412652062161,19.908353335274903,1.7137825256127868,2568.8,249.8703663902545,1.0,5
loss_pct,1.0,0.01543588484731411,0.00750315159454188,52.631510216170014,6.5792785428722755,2633.2,331.0758221314266,1.0,5
loss_pct,5.0,0.010901620220726155,0.0021627999566687273,53.41560206581323,1.204239029516726,2869.4,105.725115275416,1.0,5
loss_pct,10.0,0.012209480753301,0.004496196673520543,44.94218404270754,4.221064470738688,2763.2,226.64774430821058,1.0,5
loss_pct,13.0,0.012105346979086763,0.004802668655223053,34.601865790642755,14.709034984840363,2786.6,214.57935595019387,1.0,5
loss_pct,15.0,0.008439539075874733,0.004355284746263043,34.65612263861358,3.2828607965382792,2945.2,199.9754984991911,1.0,5
polarization_fidelity,0.8,0.09804475677830941,0.015406992921815512,6.169727955008914,5.77946111081554,304.2,283.16196778522357,0.6,5
polarization_fidelity,0.85,0.05945300637005028,0.009087262480343061,24.27229127090654,5.004130509001842,1212.6,248.08526759967026,1.0,5
polarization_fidelity,0.9,0.04465999294150025,0.006190191964821051,33.25991061101872,3.9949866205080133,1611.8,202.72444351878244,1.0,5
polarization_fidelity,0.95,0.027178364171734092,0.00638947709915396,45.5247425080055,5.230384779985088,2215.4,245.13832829649468,1.0,5
polarization_fidelity,1.0,0.0,0.0,68.94503518001076,1.9401122588196784,3450.4,43.52930047680526,1.0,5
