toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,fault_type,prob,key_index,qber
0.0,0.0,0.0,0.01,5014,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5014_20260827_055836_769300.json,390,33,1714,34,34,True,0,False,,2.2065296173095703,{},placeholder,True,,14,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5014_20260827_055836_769300.json,results/alice_realchannel_run_seed5014_20260827_055836_849479.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5015,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5015_20260827_055840_652421.json,390,33,1714,34,34,True,0,False,,2.315873861312866,{},placeholder,True,,15,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5015_20260827_055840_652421.json,results/alice_realchannel_run_seed5015_20260827_055840_767667.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5016,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5016_20260827_055844_738074.json,390,33,1714,34,34,True,0,False,,2.4379563331604004,{},placeholder,True,,16,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5016_20260827_055844_738074.json,results/alice_realchannel_run_seed5016_20260827_055844_810025.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5017,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5017_20260827_055848_839056.json,390,33,1714,34,34,True,0,False,,2.345106840133667,{},placeholder,True,,17,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5017_20260827_055848_839056.json,results/alice_realchannel_run_seed5017_20260827_055848_977265.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5018,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5018_20260827_055852_988604.json,390,33,1714,34,34,True,0,False,,2.367361307144165,{},placeholder,True,,18,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5018_20260827_055852_988604.json,results/alice_realchannel_run_seed5018_20260827_055853_065652.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5019,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5019_20260827_055857_035246.json,390,33,1714,34,34,True,0,False,,4.348839998245239,{},placeholder,True,,19,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5019_20260827_055857_035246.json,results/alice_realchannel_run_seed5019_20260827_055857_082089.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5020,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5020_20260827_055903_037152.json,390,33,1714,34,34,True,0,False,,2.3707470893859863,{},placeholder,True,,20,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5020_20260827_055903_037152.json,results/alice_realchannel_run_seed5020_20260827_055903_117426.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5021,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5021_20260827_055907_076629.json,390,33,1714,34,34,True,0,False,,2.267165184020996,{},placeholder,True,,21,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5021_20260827_055907_076629.json,results/alice_realchannel_run_seed5021_20260827_055907_140169.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5022,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5022_20260827_055911_015619.json,390,33,1714,34,34,True,0,False,,2.212545156478882,{},placeholder,True,,22,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5022_20260827_055911_015619.json,results/alice_realchannel_run_seed5022_20260827_055911_102633.json,verify_digest,0.01,0,0.0128205128205128
0.0,0.0,0.0,0.01,5023,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5023_20260827_055914_974013.json,390,33,1714,34,34,True,0,False,,2.3019535541534424,{},placeholder,True,,23,results/bob_realchannel_run_tp0.0_fk0.0_rp0.0_vd0.01_seed5023_20260827_055914_974013.json,results/alice_realchannel_run_seed5023_20260827_055915_087043.json,verify_digest,0.01,0,0.0128205128205128
