toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.025999784469604492,{},False,,key0_asymptotic_toeplitz_0.3,11,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02262592315673828,{},False,,key0_asymptotic_toeplitz_0.3,12,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022127389907836914,{},False,,key0_asymptotic_toeplitz_0.3,13,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.027097463607788086,{},False,,key0_asymptotic_toeplitz_0.3,14,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.024951457977294922,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,15,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.0238192081451416,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,16,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,False,1,0.021280288696289062,{'toeplitz_matrix': 1},False,,key0_asymptotic_toeplitz_0.3,17,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021007776260375977,{},False,,key0_asymptotic_toeplitz_0.3,18,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.3,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02462005615234375,{},False,,key0_asymptotic_toeplitz_0.3,19,toeplitz,0.3,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02160477638244629,{},False,,key0_asymptotic_toeplitz_0.1,0,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.025904417037963867,{},False,,key0_asymptotic_toeplitz_0.1,1,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.020743370056152344,{},False,,key0_asymptotic_toeplitz_0.1,2,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02310776710510254,{},False,,key0_asymptotic_toeplitz_0.1,3,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022139549255371094,{},False,,key0_asymptotic_toeplitz_0.1,4,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021831035614013672,{},False,,key0_asymptotic_toeplitz_0.1,5,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021288156509399414,{},False,,key0_asymptotic_toeplitz_0.1,6,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02308368682861328,{},False,,key0_asymptotic_toeplitz_0.1,7,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021540403366088867,{},False,,key0_asymptotic_toeplitz_0.1,8,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021132469177246094,{},False,,key0_asymptotic_toeplitz_0.1,9,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02194499969482422,{},False,,key0_asymptotic_toeplitz_0.1,10,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022344350814819336,{},False,,key0_asymptotic_toeplitz_0.1,11,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.023317575454711914,{},False,,key0_asymptotic_toeplitz_0.1,12,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022488832473754883,{},False,,key0_asymptotic_toeplitz_0.1,13,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021763324737548828,{},False,,key0_asymptotic_toeplitz_0.1,14,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021479129791259766,{},False,,key0_asymptotic_toeplitz_0.1,15,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021213293075561523,{},False,,key0_asymptotic_toeplitz_0.1,16,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022041797637939453,{},False,,key0_asymptotic_toeplitz_0.1,17,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.021476030349731445,{},False,,key0_asymptotic_toeplitz_0.1,18,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.1,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022100210189819336,{},False,,key0_asymptotic_toeplitz_0.1,19,toeplitz,0.1,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02081131935119629,{},False,,key0_asymptotic_toeplitz_0.05,0,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022853851318359375,{},False,,key0_asymptotic_toeplitz_0.05,1,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02123856544494629,{},False,,key0_asymptotic_toeplitz_0.05,2,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022889375686645508,{},False,,key0_asymptotic_toeplitz_0.05,3,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.02175617218017578,{},False,,key0_asymptotic_toeplitz_0.05,4,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022124052047729492,{},False,,key0_asymptotic_toeplitz_0.05,5,toeplitz,0.05,asymptotic,0,0.0128205128205128
0.05,0.0,0.0,0.0,0.0,2810,34,True,True,0,0.022902965545654297,{},False,,key0_asymptotic_toeplitz_0.05,6,toeplitz,0.05,asymptotic,0,0.0128205128205128
