toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,key_index,qber
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021105527877807617,{},False,,key0_toeplitz_0.5,30,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.022226333618164062,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,31,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.024928569793701172,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,32,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021159648895263672,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,33,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.024558067321777344,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,34,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022638797760009766,{},False,,key0_toeplitz_0.5,35,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.022734642028808594,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,36,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.02083563804626465,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,37,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.01923990249633789,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.5,38,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.02006697654724121,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.5,39,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.0228269100189209,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.5,40,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.028179645538330078,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,41,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02498936653137207,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,42,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.027213573455810547,{},False,,key0_toeplitz_0.5,43,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.025068044662475586,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,44,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.023235082626342773,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,45,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.026947498321533203,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,46,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02999401092529297,{},False,,key0_toeplitz_0.5,47,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.025240182876586914,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,48,toeplitz,0.5,0,0.01282051282051282
0.5,0.0,0.0,0.0,0.0,1714,0,,False,1,0.026479244232177734,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.5,49,toeplitz,0.5,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.030466794967651367,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,0,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.027964115142822266,{},False,,key0_toeplitz_0.3,1,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.029662370681762695,{},False,,key0_toeplitz_0.3,2,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022504806518554688,{},False,,key0_toeplitz_0.3,3,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.022710561752319336,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,4,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.025543928146362305,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,5,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.025037288665771484,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,6,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.023403644561767578,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,7,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02173328399658203,{},False,,key0_toeplitz_0.3,8,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02265644073486328,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,9,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.027956008911132812,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.3,10,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02630925178527832,{},False,,key0_toeplitz_0.3,11,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02530074119567871,{},False,,key0_toeplitz_0.3,12,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021565914154052734,{},False,,key0_toeplitz_0.3,13,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.026125431060791016,{},False,,key0_toeplitz_0.3,14,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022745609283447266,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,15,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.021507978439331055,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.3,16,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,2,0.02105998992919922,{'toeplitz_matrix': 2},False,,key0_toeplitz_0.3,17,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021161794662475586,{},False,,key0_toeplitz_0.3,18,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022279024124145508,{},False,,key0_toeplitz_0.3,19,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.0257110595703125,{},False,,key0_toeplitz_0.3,20,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021271467208862305,{},False,,key0_toeplitz_0.3,21,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.020313739776611328,{},False,,key0_toeplitz_0.3,22,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021414756774902344,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,23,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.021674394607543945,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,24,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021110057830810547,{},False,,key0_toeplitz_0.3,25,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02174067497253418,{},False,,key0_toeplitz_0.3,26,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.020727157592773438,{},False,,key0_toeplitz_0.3,27,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.023429155349731445,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,28,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02231907844543457,{},False,,key0_toeplitz_0.3,29,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022365808486938477,{},False,,key0_toeplitz_0.3,30,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.023746967315673828,{},False,,key0_toeplitz_0.3,31,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.027027606964111328,{},False,,key0_toeplitz_0.3,32,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.024437904357910156,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,33,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02727961540222168,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,34,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02085137367248535,{},False,,key0_toeplitz_0.3,35,toeplitz,0.3,0,0.01282051282051282
0.3,0.0,0.0,0.0,0.0,1714,0,,False,1,0.021802663803100586,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.3,36,toeplitz,0.3,0,0.01282051282051282
