toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,code_version,collection_timestamp,fault_type,prob,key_index,qber,mismatch,is_baseline_contaminated
0.5,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260831_194029_299729.json,390,33,2810,34,34,True,0,False,,4.169816732406616,{'toeplitz_matrix': 1},asymptotic,True,,0,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260831_194029_299729.json,results/alice_realchannel_run_seed42_20260831_194029_249806.json,unknown,2026-08-31T19:40:33.892058,toeplitz,0.5,0,0.0128205128205128,False,False
0.5,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260831_194034_892694.json,390,33,2810,34,34,True,0,False,,4.2210657596588135,{},asymptotic,True,,1,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260831_194034_892694.json,results/alice_realchannel_run_seed43_20260831_194034_887266.json,unknown,2026-08-31T19:40:39.563765,toeplitz,0.5,0,0.0128205128205128,False,False
0.5,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260831_194040_568700.json,390,33,2810,34,34,True,0,False,,2.4527571201324463,{},asymptotic,True,,2,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260831_194040_568700.json,results/alice_realchannel_run_seed44_20260831_194040_571758.json,unknown,2026-08-31T19:40:43.431671,toeplitz,0.5,0,0.0128205128205128,False,False
0.5,0.0,0.0,0.0,45,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed45_20260831_194044_437516.json,390,33,2810,34,34,True,0,False,,4.283936738967896,{},asymptotic,True,,3,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed45_20260831_194044_437516.json,results/alice_realchannel_run_seed45_20260831_194044_428214.json,unknown,2026-08-31T19:40:49.171721,toeplitz,0.5,0,0.0128205128205128,False,False
0.5,0.0,0.0,0.0,46,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed46_20260831_194050_174704.json,390,33,2810,34,34,True,0,False,,2.2075510025024414,{'toeplitz_matrix': 1},asymptotic,False,,4,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed46_20260831_194050_174704.json,results/alice_realchannel_run_seed46_20260831_194050_172686.json,unknown,2026-08-31T19:40:52.808118,toeplitz,0.5,0,0.0128205128205128,True,False
0.5,0.0,0.0,0.0,47,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed47_20260831_194053_801757.json,390,33,2810,34,34,True,0,False,,2.4684038162231445,{'toeplitz_matrix': 1},asymptotic,False,,5,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed47_20260831_194053_801757.json,results/alice_realchannel_run_seed47_20260831_194053_821466.json,unknown,2026-08-31T19:40:56.702896,toeplitz,0.5,0,0.0128205128205128,True,False
0.5,0.0,0.0,0.0,48,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed48_20260831_194057_719567.json,390,33,2810,34,34,True,0,False,,4.366448879241943,{},asymptotic,True,,6,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed48_20260831_194057_719567.json,results/alice_realchannel_run_seed48_20260831_194057_685820.json,unknown,2026-08-31T19:41:02.477393,toeplitz,0.5,0,0.0128205128205128,False,False
0.5,0.0,0.0,0.0,49,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed49_20260831_194103_480539.json,390,33,2810,34,34,True,0,False,,4.353216886520386,{},asymptotic,True,,7,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed49_20260831_194103_480539.json,results/alice_realchannel_run_seed49_20260831_194103_459895.json,unknown,2026-08-31T19:41:08.224143,toeplitz,0.5,0,0.0128205128205128,False,False
0.5,0.0,0.0,0.0,50,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed50_20260831_194109_232868.json,390,33,2810,34,34,True,0,False,,3.452483892440796,{'toeplitz_matrix': 1},asymptotic,True,,8,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed50_20260831_194109_232868.json,results/alice_realchannel_run_seed50_20260831_194109_205734.json,unknown,2026-08-31T19:41:13.076516,toeplitz,0.5,0,0.0128205128205128,False,False
0.5,0.0,0.0,0.0,51,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed51_20260831_194114_079388.json,390,33,2810,34,34,True,0,False,,4.358343839645386,{},asymptotic,True,,9,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed51_20260831_194114_079388.json,results/alice_realchannel_run_seed51_20260831_194114_064718.json,unknown,2026-08-31T19:41:18.828306,toeplitz,0.5,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed42_20260831_194119_832244.json,390,33,2810,34,34,True,0,False,,1.9811663627624512,{},asymptotic,True,,0,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed42_20260831_194119_832244.json,results/alice_realchannel_run_seed42_20260831_194119_838556.json,unknown,2026-08-31T19:41:22.281452,toeplitz,0.3,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed43_20260831_194123_286860.json,390,33,2810,34,34,True,0,False,,4.198647737503052,{},asymptotic,True,,1,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed43_20260831_194123_286860.json,results/alice_realchannel_run_seed43_20260831_194123_265161.json,unknown,2026-08-31T19:41:27.881108,toeplitz,0.3,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed44_20260831_194128_893311.json,390,33,2810,34,34,True,0,False,,1.7282803058624268,{},asymptotic,True,,2,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed44_20260831_194128_893311.json,results/alice_realchannel_run_seed44_20260831_194128_893360.json,unknown,2026-08-31T19:41:31.071347,toeplitz,0.3,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,45,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed45_20260831_194132_078250.json,390,33,2810,34,34,True,0,False,,3.5634610652923584,{},asymptotic,True,,3,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed45_20260831_194132_078250.json,results/alice_realchannel_run_seed45_20260831_194132_059280.json,unknown,2026-08-31T19:41:36.034584,toeplitz,0.3,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,46,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed46_20260831_194137_035552.json,390,33,2810,34,34,True,0,False,,3.4860987663269043,{'toeplitz_matrix': 1},asymptotic,False,,4,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed46_20260831_194137_035552.json,results/alice_realchannel_run_seed46_20260831_194137_015558.json,unknown,2026-08-31T19:41:40.914435,toeplitz,0.3,0,0.0128205128205128,True,False
0.3,0.0,0.0,0.0,47,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed47_20260831_194141_931923.json,390,33,2810,34,34,True,0,False,,4.457513093948364,{'toeplitz_matrix': 1},asymptotic,False,,5,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed47_20260831_194141_931923.json,results/alice_realchannel_run_seed47_20260831_194141_924527.json,unknown,2026-08-31T19:41:46.787846,toeplitz,0.3,0,0.0128205128205128,True,False
0.3,0.0,0.0,0.0,48,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed48_20260831_194147_790201.json,390,33,2810,34,34,True,0,False,,4.383454322814941,{},asymptotic,True,,6,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed48_20260831_194147_790201.json,results/alice_realchannel_run_seed48_20260831_194147_775538.json,unknown,2026-08-31T19:41:52.563794,toeplitz,0.3,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,49,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed49_20260831_194153_576237.json,390,33,2810,34,34,True,0,False,,4.341421365737915,{},asymptotic,True,,7,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed49_20260831_194153_576237.json,results/alice_realchannel_run_seed49_20260831_194153_543465.json,unknown,2026-08-31T19:41:58.291531,toeplitz,0.3,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,50,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed50_20260831_194159_306462.json,390,33,2810,34,34,True,0,False,,3.919117212295532,{},asymptotic,True,,8,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed50_20260831_194159_306462.json,results/alice_realchannel_run_seed50_20260831_194159_292173.json,unknown,2026-08-31T19:42:03.622540,toeplitz,0.3,0,0.0128205128205128,False,False
0.3,0.0,0.0,0.0,51,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed51_20260831_194204_661659.json,390,33,2810,34,34,True,0,False,,3.864370346069336,{},asymptotic,True,,9,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed51_20260831_194204_661659.json,results/alice_realchannel_run_seed51_20260831_194204_608825.json,unknown,2026-08-31T19:42:08.904073,toeplitz,0.3,0,0.0128205128205128,False,False
0.1,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed42_20260831_194209_893622.json,390,33,2810,34,34,True,0,False,,4.216099977493286,{},asymptotic,True,,0,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed42_20260831_194209_893622.json,results/alice_realchannel_run_seed42_20260831_194209_885753.json,unknown,2026-08-31T19:42:14.500955,toeplitz,0.1,0,0.0128205128205128,False,False
0.1,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed43_20260831_194215_514327.json,390,33,2810,34,34,True,0,False,,3.751326084136963,{},asymptotic,True,,1,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed43_20260831_194215_514327.json,results/alice_realchannel_run_seed43_20260831_194215_491306.json,unknown,2026-08-31T19:42:19.637854,toeplitz,0.1,0,0.0128205128205128,False,False
0.1,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed44_20260831_194220_652846.json,390,33,2810,34,34,True,0,False,,4.428927183151245,{},asymptotic,True,,2,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed44_20260831_194220_652846.json,results/alice_realchannel_run_seed44_20260831_194220_624734.json,unknown,2026-08-31T19:42:25.468273,toeplitz,0.1,0,0.0128205128205128,False,False
0.1,0.0,0.0,0.0,45,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed45_20260831_194226_480182.json,390,33,2810,34,34,True,0,False,,0.9015088081359864,{},asymptotic,True,,3,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed45_20260831_194226_480182.json,results/alice_realchannel_run_seed45_20260831_194226_486100.json,unknown,2026-08-31T19:42:27.770810,toeplitz,0.1,0,0.0128205128205128,False,False
0.1,0.0,0.0,0.0,46,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed46_20260831_194228_790434.json,390,33,2810,34,34,True,0,False,,4.18745756149292,{},asymptotic,True,,4,results/bob_realchannel_run_tp0.1_fk0.0_rp0.0_vd0.0_seed46_20260831_194228_790434.json,results/alice_realchannel_run_seed46_20260831_194228_754887.json,unknown,2026-08-31T19:42:33.367132,toeplitz,0.1,0,0.0128205128205128,False,False
