toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_error,run,bob_output_path,fault_type,prob,key_index,qber
0.0,0.0,0.3,0.0,58,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed58_20260826_223814_572368.json,390,33,1714,34,34,False,10,False,,3.5397231578826904,{'reconciliation_state': 10},placeholder,,,16,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed58_20260826_223814_572368.json,reconciliation,0.3,0,0.0128205128205128
0.0,0.0,0.3,0.0,59,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed59_20260826_223819_750016.json,390,33,1714,34,34,False,9,False,,4.470015525817871,{'reconciliation_state': 9},placeholder,,,17,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed59_20260826_223819_750016.json,reconciliation,0.3,0,0.0128205128205128
0.0,0.0,0.3,0.0,60,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed60_20260826_223825_879839.json,390,33,1714,34,34,False,8,False,,4.4443840980529785,{'reconciliation_state': 8},placeholder,,,18,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed60_20260826_223825_879839.json,reconciliation,0.3,0,0.0128205128205128
0.0,0.0,0.3,0.0,61,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed61_20260826_223831_897981.json,390,33,1714,34,34,False,9,False,,4.5585854053497314,{'reconciliation_state': 9},placeholder,,,19,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed61_20260826_223831_897981.json,reconciliation,0.3,0,0.0128205128205128
0.0,0.0,0.1,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed42_20260826_223838_083137.json,390,33,1714,34,34,False,2,False,,4.437120199203491,{'reconciliation_state': 2},placeholder,,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed42_20260826_223838_083137.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed43_20260826_223844_093180.json,390,33,1714,34,34,False,3,False,,4.47423529624939,{'reconciliation_state': 3},placeholder,,,1,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed43_20260826_223844_093180.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed44_20260826_223850_208414.json,390,33,1714,34,34,False,6,False,,4.47582483291626,{'reconciliation_state': 6},placeholder,,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed44_20260826_223850_208414.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed45_20260826_223856_304775.json,390,33,1714,34,34,False,1,False,,4.32747483253479,{'reconciliation_state': 1},placeholder,,,3,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed45_20260826_223856_304775.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed46_20260826_223902_321873.json,390,33,1714,34,34,False,3,False,,4.374155759811401,{'reconciliation_state': 3},placeholder,,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed46_20260826_223902_321873.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed47_20260826_223908_353420.json,390,33,1714,34,34,False,6,False,,2.6698036193847656,{'reconciliation_state': 6},placeholder,,,5,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed47_20260826_223908_353420.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed48_20260826_223912_586723.json,390,33,1714,34,34,False,3,False,,4.645442485809326,{'reconciliation_state': 3},placeholder,,,6,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed48_20260826_223912_586723.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed49_20260826_223918_844768.json,390,33,1714,34,34,False,3,False,,4.627040863037109,{'reconciliation_state': 3},placeholder,,,7,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed49_20260826_223918_844768.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed50_20260826_223925_092958.json,390,33,1714,34,34,False,5,False,,4.48699426651001,{'reconciliation_state': 5},placeholder,,,8,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed50_20260826_223925_092958.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,51,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed51_20260826_223931_159621.json,390,33,1714,34,34,False,4,False,,4.431932210922241,{'reconciliation_state': 4},placeholder,,,9,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed51_20260826_223931_159621.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,52,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed52_20260826_223937_165788.json,390,33,1714,34,34,False,5,False,,2.702789306640625,{'reconciliation_state': 5},placeholder,,,10,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed52_20260826_223937_165788.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,53,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed53_20260826_223941_697647.json,390,33,1714,34,34,False,5,False,,4.523077964782715,{'reconciliation_state': 5},placeholder,,,11,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed53_20260826_223941_697647.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,54,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed54_20260826_223947_916688.json,390,33,1714,34,34,False,3,False,,4.423411130905151,{'reconciliation_state': 3},placeholder,,,12,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed54_20260826_223947_916688.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,55,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed55_20260826_223953_910295.json,390,33,1714,34,34,False,2,False,,4.381887435913086,{'reconciliation_state': 2},placeholder,,,13,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed55_20260826_223953_910295.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,56,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed56_20260826_223959_861855.json,390,33,1714,34,34,False,3,False,,4.442087173461914,{'reconciliation_state': 3},placeholder,,,14,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed56_20260826_223959_861855.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,57,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed57_20260826_224005_874731.json,390,33,1714,34,34,False,3,False,,4.073194265365601,{'reconciliation_state': 3},placeholder,,,15,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed57_20260826_224005_874731.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,58,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed58_20260826_224011_510276.json,390,33,1714,34,34,False,6,False,,4.301590204238892,{'reconciliation_state': 6},placeholder,,,16,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed58_20260826_224011_510276.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,59,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed59_20260826_224017_395967.json,390,33,1714,34,34,False,4,False,,4.424010992050171,{'reconciliation_state': 4},placeholder,,,17,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed59_20260826_224017_395967.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,60,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed60_20260826_224023_424871.json,390,33,1714,34,34,False,2,False,,4.459355115890503,{'reconciliation_state': 2},placeholder,,,18,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed60_20260826_224023_424871.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.1,0.0,61,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed61_20260826_224029_447436.json,390,33,1714,34,34,False,2,False,,4.444369316101074,{'reconciliation_state': 2},placeholder,,,19,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed61_20260826_224029_447436.json,reconciliation,0.1,0,0.0128205128205128
0.0,0.0,0.03,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed42_20260826_224035_455989.json,390,33,1714,34,34,False,1,False,,4.279773473739624,{'reconciliation_state': 1},placeholder,,,0,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed42_20260826_224035_455989.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed43_20260826_224041_297210.json,390,33,1714,34,34,True,0,False,,4.111767053604126,{},placeholder,,,1,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed43_20260826_224041_297210.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed44_20260826_224047_018899.json,390,33,1714,34,34,False,1,False,,4.493061780929565,{'reconciliation_state': 1},placeholder,,,2,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed44_20260826_224047_018899.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed45_20260826_224053_081143.json,390,33,1714,34,34,True,0,False,,4.1465003490448,{},placeholder,,,3,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed45_20260826_224053_081143.json,reconciliation,0.03,0,0.0128205128205128
0.0,0.0,0.03,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed46_20260826_224058_795801.json,390,33,1714,34,34,False,1,False,,4.280249834060669,{'reconciliation_state': 1},placeholder,,,4,results/bob_recon_run_tp0.0_fk0.0_rp0.03_vd0.0_seed46_20260826_224058_795801.json,reconciliation,0.03,0,0.0128205128205128
