index,m_sifted,k_pe,n_bits,qber,alice_path,bob_path,alice_raw_path,bob_raw_path
0,3894,390,3504,0.01282051282051282,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key0.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key0.json,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key0_raw.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key0_raw.json
1,3788,379,3409,0.0158311345646438,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key1.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key1.json,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key1_raw.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key1_raw.json
2,3734,374,3360,0.00267379679144385,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key2.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key2.json,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key2_raw.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key2_raw.json
3,3813,382,3431,0.002617801047120419,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key3.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key3.json,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key3_raw.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key3_raw.json
4,3841,385,3456,0.005194805194805195,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key4.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key4.json,/home/fabric/work/qkd-dependability/results/alice_sifted_bits_key4_raw.json,/home/fabric/work/qkd-dependability/results/bob_sifted_bits_key4_raw.json
