toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_measurement_error,run,bob_output_path,alice_output_path,code_version,collection_timestamp,fault_type,prob,key_index,qber
0.5,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260902_033734_494373.json,390,33,23,12,12,True,0,False,,3.669170379638672,{'toeplitz_matrix': 1},finite_key,True,,0,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed42_20260902_033734_494373.json,results/alice_realchannel_run_seed42_20260902_033734_365831.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:37:38.548827,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260902_033739_573058.json,390,33,23,12,12,True,0,False,,3.522937536239624,{},finite_key,True,,1,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed43_20260902_033739_573058.json,results/alice_realchannel_run_seed43_20260902_033739_518786.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:37:43.480747,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260902_033744_502194.json,390,33,23,12,12,True,0,False,,3.773275852203369,{},finite_key,True,,2,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed44_20260902_033744_502194.json,results/alice_realchannel_run_seed44_20260902_033744_455315.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:37:48.643811,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,45,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed45_20260902_033749_665365.json,390,33,23,12,12,True,0,False,,3.6020150184631348,{},finite_key,True,,3,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed45_20260902_033749_665365.json,results/alice_realchannel_run_seed45_20260902_033749_609924.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:37:53.634920,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,46,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed46_20260902_033754_672594.json,390,33,23,12,12,True,0,False,,3.73862886428833,{'toeplitz_matrix': 1},finite_key,False,,4,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed46_20260902_033754_672594.json,results/alice_realchannel_run_seed46_20260902_033754_619586.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:37:58.782897,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,47,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed47_20260902_033759_809881.json,390,33,23,12,12,False,0,False,,3.977424144744873,{'toeplitz_matrix': 1},finite_key,True,,5,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed47_20260902_033759_809881.json,results/alice_realchannel_run_seed47_20260902_033759_757843.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:04.157814,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,48,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed48_20260902_033805_182093.json,390,33,23,12,12,True,0,False,,3.7091126441955566,{},finite_key,True,,6,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed48_20260902_033805_182093.json,results/alice_realchannel_run_seed48_20260902_033805_131720.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:09.261865,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,49,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed49_20260902_033810_311584.json,390,33,23,12,12,True,0,False,,3.6481146812438965,{},finite_key,True,,7,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed49_20260902_033810_311584.json,results/alice_realchannel_run_seed49_20260902_033810_228477.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:14.331107,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,50,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed50_20260902_033815_361441.json,390,33,23,12,12,True,0,False,,3.685904026031494,{'toeplitz_matrix': 1},finite_key,True,,8,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed50_20260902_033815_361441.json,results/alice_realchannel_run_seed50_20260902_033815_305695.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:19.429090,toeplitz,0.5,0,0.0128205128205128
0.5,0.0,0.0,0.0,51,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed51_20260902_033820_462980.json,390,33,23,12,12,True,0,False,,3.8803415298461914,{},finite_key,True,,9,results/bob_realchannel_run_tp0.5_fk0.0_rp0.0_vd0.0_seed51_20260902_033820_462980.json,results/alice_realchannel_run_seed51_20260902_033820_401696.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:24.705204,toeplitz,0.5,0,0.0128205128205128
0.3,0.0,0.0,0.0,42,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed42_20260902_033825_719318.json,390,33,23,12,12,True,0,False,,3.5439672470092773,{},finite_key,True,,0,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed42_20260902_033825_719318.json,results/alice_realchannel_run_seed42_20260902_033825_680276.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:29.627327,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,43,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed43_20260902_033830_644792.json,390,33,23,12,12,True,0,False,,3.750551223754883,{},finite_key,True,,1,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed43_20260902_033830_644792.json,results/alice_realchannel_run_seed43_20260902_033830_603903.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:34.759530,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,44,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed44_20260902_033835_765186.json,390,33,23,12,12,True,0,False,,4.009933948516846,{},finite_key,True,,2,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed44_20260902_033835_765186.json,results/alice_realchannel_run_seed44_20260902_033835_747884.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:40.195452,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,45,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed45_20260902_033841_255193.json,390,33,23,12,12,True,0,False,,3.576458215713501,{},finite_key,True,,3,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed45_20260902_033841_255193.json,results/alice_realchannel_run_seed45_20260902_033841_173907.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:45.193363,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,46,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed46_20260902_033846_211062.json,390,33,23,12,12,True,0,False,,3.532724142074585,{'toeplitz_matrix': 1},finite_key,False,,4,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed46_20260902_033846_211062.json,results/alice_realchannel_run_seed46_20260902_033846_164013.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:50.093942,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,47,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed47_20260902_033851_122771.json,390,33,23,12,12,False,0,False,,3.7846665382385254,{'toeplitz_matrix': 1},finite_key,True,,5,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed47_20260902_033851_122771.json,results/alice_realchannel_run_seed47_20260902_033851_079635.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:38:55.273275,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,48,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed48_20260902_033856_297246.json,390,33,23,12,12,True,0,False,,3.9020586013793945,{},finite_key,True,,6,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed48_20260902_033856_297246.json,results/alice_realchannel_run_seed48_20260902_033856_238660.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:39:00.562566,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,49,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed49_20260902_033901_579410.json,390,33,23,12,12,True,0,False,,3.9002201557159424,{},finite_key,True,,7,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed49_20260902_033901_579410.json,results/alice_realchannel_run_seed49_20260902_033901_538090.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:39:05.859098,toeplitz,0.3,0,0.0128205128205128
0.3,0.0,0.0,0.0,50,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed50_20260902_033906_864761.json,390,33,23,12,12,True,0,False,,3.7083263397216797,{},finite_key,True,,8,results/bob_realchannel_run_tp0.3_fk0.0_rp0.0_vd0.0_seed50_20260902_033906_864761.json,results/alice_realchannel_run_seed50_20260902_033906_828820.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:39:10.939038,toeplitz,0.3,0,0.0128205128205128
