toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode,key_index,qber
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01894664764404297,{},False,,key0_finitekey_toeplitz_0.5,27,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019486188888549805,{},False,,key0_finitekey_toeplitz_0.5,28,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.02122783660888672,{},False,,key0_finitekey_toeplitz_0.5,29,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01969122886657715,{},False,,key0_finitekey_toeplitz_0.5,30,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.020467042922973633,{},False,,key0_finitekey_toeplitz_0.5,31,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019763708114624023,{},False,,key0_finitekey_toeplitz_0.5,32,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.021245241165161133,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,33,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01927804946899414,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,34,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019575119018554688,{},False,,key0_finitekey_toeplitz_0.5,35,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.01983356475830078,{},False,,key0_finitekey_toeplitz_0.5,36,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.020247459411621094,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,37,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,False,True,0,0.019593477249145508,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,38,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,False,True,0,0.019329309463500977,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,39,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,False,1,0.01982259750366211,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,40,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,False,True,0,0.019116640090942383,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,41,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.025910139083862305,{'toeplitz_matrix': 1},False,,key0_finitekey_toeplitz_0.5,42,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.023569822311401367,{},False,,key0_finitekey_toeplitz_0.5,43,toeplitz,0.5,finite_key,0,0.0128205128205128
0.5,0.0,0.0,0.0,0.0,23,12,True,True,0,0.019983291625976562,{},False,,key0_finitekey_toeplitz_0.5,44,toeplitz,0.5,finite_key,0,0.0128205128205128
