toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,seed,output_path,k_pe,total_corrections,secure_key_length,t_verify,digest_length,verification_passed,remaining_errors_after_reconciliation,non_convergent,error,elapsed_seconds,faults_fired,length_mode,keys_match,alice_error,alice_output_path,run,bob_output_path,code_version,collection_timestamp,fault_type,prob,key_index,qber,mismatch
0.0,0.0,0.3,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed42_20260902_035135_349463.json,390,33,23,12,12,False,12,False,,3.9541382789611816,{'reconciliation_state': 12},finite_key,False,,results/alice_recon_run_seed42_20260902_035135_329126.json,0,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed42_20260902_035135_349463.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:51:39.677174,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed43_20260902_035140_687419.json,390,33,23,12,12,False,8,False,,2.0127615928649902,{'reconciliation_state': 8},finite_key,False,,results/alice_recon_run_seed43_20260902_035140_745110.json,1,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed43_20260902_035140_687419.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:51:43.206164,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed44_20260902_035144_231060.json,390,33,23,12,12,False,10,False,,4.337079048156738,{'reconciliation_state': 10},finite_key,False,,results/alice_recon_run_seed44_20260902_035144_214028.json,2,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed44_20260902_035144_231060.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:51:48.995682,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed45_20260902_035150_026939.json,390,33,23,12,12,False,7,False,,4.088572025299072,{'reconciliation_state': 7},finite_key,False,,results/alice_recon_run_seed45_20260902_035149_998825.json,3,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed45_20260902_035150_026939.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:51:54.536023,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed46_20260902_035155_553835.json,390,33,23,12,12,False,8,False,,4.097435474395752,{'reconciliation_state': 8},finite_key,False,,results/alice_recon_run_seed46_20260902_035155_520116.json,4,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed46_20260902_035155_553835.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:00.040996,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,47,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed47_20260902_035201_037960.json,390,33,23,12,12,False,10,False,,2.2212729454040527,{'reconciliation_state': 10},finite_key,False,,results/alice_recon_run_seed47_20260902_035201_071856.json,5,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed47_20260902_035201_037960.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:03.707966,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,48,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed48_20260902_035204_721841.json,390,33,23,12,12,False,10,False,,4.117333889007568,{'reconciliation_state': 10},finite_key,False,,results/alice_recon_run_seed48_20260902_035204_694208.json,6,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed48_20260902_035204_721841.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:09.231446,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,49,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed49_20260902_035210_235890.json,390,33,23,12,12,False,10,False,,2.331655502319336,{'reconciliation_state': 10},finite_key,False,,results/alice_recon_run_seed49_20260902_035210_254533.json,7,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed49_20260902_035210_235890.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:13.067577,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,50,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed50_20260902_035214_066678.json,390,32,23,12,12,False,11,False,,4.009063482284546,{'reconciliation_state': 10},finite_key,False,,results/alice_recon_run_seed50_20260902_035214_052441.json,8,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed50_20260902_035214_066678.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:18.469239,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.3,0.0,51,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed51_20260902_035219_471543.json,390,33,23,12,12,False,8,False,,2.139714002609253,{'reconciliation_state': 8},finite_key,False,,results/alice_recon_run_seed51_20260902_035219_475882.json,9,results/bob_recon_run_tp0.0_fk0.0_rp0.3_vd0.0_seed51_20260902_035219_471543.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:22.020454,reconciliation,0.3,0,0.0128205128205128,True
0.0,0.0,0.1,0.0,42,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed42_20260902_035223_021764.json,390,33,23,12,12,False,2,False,,1.9821784496307373,{'reconciliation_state': 2},finite_key,False,,results/alice_recon_run_seed42_20260902_035223_075345.json,0,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed42_20260902_035223_021764.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:25.490686,reconciliation,0.1,0,0.0128205128205128,True
0.0,0.0,0.1,0.0,43,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed43_20260902_035226_690554.json,390,33,23,12,12,False,3,False,,3.7768571376800537,{'reconciliation_state': 3},finite_key,False,,results/alice_recon_run_seed43_20260902_035226_519965.json,1,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed43_20260902_035226_690554.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:30.841392,reconciliation,0.1,0,0.0128205128205128,True
0.0,0.0,0.1,0.0,44,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed44_20260902_035231_857512.json,390,33,23,12,12,False,6,False,,1.9784095287323,{'reconciliation_state': 6},finite_key,False,,results/alice_recon_run_seed44_20260902_035231_870267.json,2,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed44_20260902_035231_857512.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:34.252261,reconciliation,0.1,0,0.0128205128205128,True
0.0,0.0,0.1,0.0,45,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed45_20260902_035235_262868.json,390,33,23,12,12,False,1,False,,3.844695568084717,{'reconciliation_state': 1},finite_key,False,,results/alice_recon_run_seed45_20260902_035235_232867.json,3,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed45_20260902_035235_262868.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:39.480045,reconciliation,0.1,0,0.0128205128205128,True
0.0,0.0,0.1,0.0,46,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed46_20260902_035240_497402.json,390,33,23,12,12,False,3,False,,3.84200119972229,{'reconciliation_state': 3},finite_key,False,,results/alice_recon_run_seed46_20260902_035240_475586.json,4,results/bob_recon_run_tp0.0_fk0.0_rp0.1_vd0.0_seed46_20260902_035240_497402.json,exception: name 'PROJECT_DIR' is not defined,2026-09-02T03:52:44.720962,reconciliation,0.1,0,0.0128205128205128,True
