toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.0296781063079834,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,31,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.05430889129638672,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,32,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.04488205909729004,{},False,,asymptotic_toeplitz_0.5,33,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027689695358276367,{},False,,asymptotic_toeplitz_0.5,34,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02767491340637207,{},False,,asymptotic_toeplitz_0.5,35,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027066946029663086,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,36,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027791261672973633,{},False,,asymptotic_toeplitz_0.5,37,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.029242515563964844,{},False,,asymptotic_toeplitz_0.5,38,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02600860595703125,{},False,,asymptotic_toeplitz_0.5,39,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028432607650756836,{},False,,asymptotic_toeplitz_0.5,40,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.029085636138916016,{},False,,asymptotic_toeplitz_0.5,41,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.026875734329223633,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,42,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025814294815063477,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,43,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027827978134155273,{},False,,asymptotic_toeplitz_0.5,44,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028802871704101562,{},False,,asymptotic_toeplitz_0.5,45,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.029448509216308594,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,46,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.027474164962768555,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,47,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026764631271362305,{},False,,asymptotic_toeplitz_0.5,48,toeplitz,0.5,asymptotic
0.5,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026987075805664062,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.5,49,toeplitz,0.5,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.0288698673248291,{},False,,asymptotic_toeplitz_0.3,0,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.05452418327331543,{},False,,asymptotic_toeplitz_0.3,1,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02903127670288086,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,2,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026978015899658203,{},False,,asymptotic_toeplitz_0.3,3,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.0294036865234375,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,4,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.026851177215576172,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,5,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.030388355255126953,{},False,,asymptotic_toeplitz_0.3,6,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027606487274169922,{},False,,asymptotic_toeplitz_0.3,7,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02629232406616211,{},False,,asymptotic_toeplitz_0.3,8,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.031025171279907227,{},False,,asymptotic_toeplitz_0.3,9,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02935791015625,{},False,,asymptotic_toeplitz_0.3,10,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026288986206054688,{},False,,asymptotic_toeplitz_0.3,11,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02603292465209961,{},False,,asymptotic_toeplitz_0.3,12,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.030012130737304688,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.3,13,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.030632495880126953,{},False,,asymptotic_toeplitz_0.3,14,toeplitz,0.3,asymptotic
0.3,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.03460049629211426,{},False,,asymptotic_toeplitz_0.3,15,toeplitz,0.3,asymptotic
