condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note
lhs5_replicate,11.72,124.2,0.5,0.0916030534351145,3932,411,0.0411,117.56460404396057,3.4959501913204765,0.803,0.175,77.3,2,
lhs5_replicate,11.72,124.2,0.5,0.10317460317460317,3785,143,0.0143,83.08144116401672,1.7212026897522634,0.803,0.175,77.3,3,
lhs5_replicate,11.72,124.2,0.5,0.09278350515463918,3883,379,0.0379,81.7760877609253,4.634606648193017,0.803,0.175,77.3,4,
lhs5_replicate,11.72,124.2,0.5,0.07989690721649484,3880,685,0.0685,87.07642364501953,7.866652893239026,0.803,0.175,77.3,5,
