toeplitz_prob,hash_prob,reconciliation_prob,qber_after_reconciliation,secure_key_length,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run
0.0,0.5,0.0,0.0,462,False,1,9.567764520645142,{'hash_output': 1},False,,hash_only,22
0.0,0.5,0.0,0.0,462,False,2,9.672675848007202,{'hash_output': 2},False,,hash_only,23
0.0,0.5,0.0,0.0,462,False,1,9.551063537597656,{'hash_output': 1},False,,hash_only,24
0.0,0.5,0.0,0.0,462,True,0,9.47898817062378,{},False,,hash_only,25
0.0,0.5,0.0,0.0,462,False,2,9.431499004364014,{'hash_output': 2},False,,hash_only,26
0.0,0.5,0.0,0.0,462,False,1,10.102624654769897,{'hash_output': 1},False,,hash_only,27
0.0,0.5,0.0,0.0,462,False,2,9.357456684112549,{'hash_output': 2},False,,hash_only,28
0.0,0.5,0.0,0.0,462,False,1,9.327703475952148,{'hash_output': 1},False,,hash_only,29
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,0
0.0,0.0,0.3,,,False,,,,True,try_correct_block recursion exceeded 50 levels -- likely fault-induced desync causing pathological bisection,reconciliation_only,1
0.0,0.0,0.3,,,False,,,,True,try_correct_block recursion exceeded 50 levels -- likely fault-induced desync causing pathological bisection,reconciliation_only,2
0.0,0.0,0.3,,,False,,,,True,try_correct_block recursion exceeded 50 levels -- likely fault-induced desync causing pathological bisection,reconciliation_only,3
0.0,0.0,0.3,,,False,,,,True,try_correct_block recursion exceeded 50 levels -- likely fault-induced desync causing pathological bisection,reconciliation_only,4
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,5
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,6
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,7
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,8
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,9
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,10
0.0,0.0,0.3,,,False,,,,True,try_correct_block recursion exceeded 50 levels -- likely fault-induced desync causing pathological bisection,reconciliation_only,11
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,12
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,13
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,14
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,15
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,16
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,17
0.0,0.0,0.3,,,False,,,,True,try_correct_block recursion exceeded 50 levels -- likely fault-induced desync causing pathological bisection,reconciliation_only,18
0.0,0.0,0.3,,,False,,,,True,_service_pending_try_correct did not drain after 200 iterations -- likely fault-induced runaway cascade-effect scheduling,reconciliation_only,19
